# Control-plane events: capture_2026-08-13_linux_power-on2_parsed.txt
#
# t(ms) is relative to the first transfer of the event.
# gap(ms) is from the completion of the previous transfer.
# stream is bulk packets seen on EP 0x05/0x86 since the previous transfer.

================================================================================================
EVENT 1  [init+rate]  at 5.348714 s, 36 transfers, span 281.273 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
   134.193 |     0.062 |     97.0 |      0 | GET_DESCRIPTOR wValue=0x0303 wIndex=0x0409 len=255 -> 22 03 6e 00 6f 00 20 00 73 00 65 00 72 00 69 00 61 00 6c 00 20 00 6e 00 75 00 6d 00 62 00 65 00 72 00
   163.547 |    29.257 |     23.0 |      0 | SET_CONFIGURATION wValue=0x0001
   163.670 |     0.100 |     40.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   163.999 |     0.289 |     23.0 |      0 | SET_INTERFACE intf=0 alt=1
   164.977 |     0.955 |     23.0 |      0 | SET_INTERFACE intf=1 alt=1
   165.380 |     0.380 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   165.918 |     0.515 |     27.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   166.252 |     0.307 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   166.615 |     0.339 |     29.0 |      0 | GET_STATUS len=1 -> 12
   166.655 |     0.011 |     30.0 |      0 | GET_STATUS len=1 -> 12
   166.695 |     0.010 |    213.0 |      0 | SET_STATUS wValue=0x0032
   166.920 |     0.012 |     29.0 |      0 | GET_STATUS len=1 -> 32
   166.981 |     0.032 |     29.0 |      0 | GET_FIRMWARE len=3 -> 31 01 06
   167.388 |     0.378 |     24.0 |      0 | SET_INTERFACE intf=0 alt=1
   168.352 |     0.940 |     33.0 |      0 | SET_INTERFACE intf=1 alt=1
   168.781 |     0.396 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x86
   169.191 |     0.386 |     24.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x05
   169.565 |     0.350 |     23.0 |      0 | CLEAR_FEATURE(ENDPOINT_HALT) ep=0x83
   169.964 |     0.376 |     29.0 |      0 | GET_STATUS len=1 -> 32
   170.004 |     0.011 |    113.0 |      0 | GET_RATE ep=none wValue=0x0100 len=3 -> 44100 Hz
   185.134 |    15.017 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   185.194 |     0.009 |     93.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   185.295 |     0.008 |     93.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   185.412 |     0.024 |     78.0 |      0 | SET_RATE ep=0x05 wValue=0x0100 len=3 -> 44100 Hz
   185.552 |     0.062 |     51.0 |      0 | SET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   185.612 |     0.009 |    134.0 |      0 | GET_RATE ep=0x86 wValue=0x0100 len=3 -> 44100 Hz
   236.764 |    51.018 |     34.0 |      0 | GET_STATUS len=1 -> 32
   236.847 |     0.049 |     30.0 |      0 | GET_STATUS len=1 -> 32

================================================================================================
EVENT 3  [init+rate]  at 44.721464 s, 36 transfers, span 237.054 ms
================================================================================================
     t(ms) |   gap(ms) |  dur(us) | stream | Request
------------------------------------------------------------------------------------------------
